"id","date","laccell"
106,2004-07-26 08:56:42,5119040332
106,2004-07-26 08:56:59,5119040811
106,2004-11-02 05:29:28,5119040811
106,2004-11-02 05:29:41,5119040332
106,2004-11-02 05:33:36,5119040811
106,2004-11-02 05:42:34,5119040332
106,2004-11-02 05:42:49,5119040811
106,2004-11-02 05:45:53,5123040863
106,2004-11-02 05:46:32,5119040332
2,2005-01-27 21:24:42,5187041463
2,2005-01-27 21:26:05,5187043743
2,2005-01-27 21:26:35,5187041463
2,2005-01-27 21:28:17,5187043743
2,2005-01-27 21:28:47,5187041463
2,2005-01-27 21:29:03,5187043743
2,2005-01-27 21:30:06,5187041463
2,2005-01-27 21:34:06,5187043743
2,2005-01-27 21:34:22,5187041463
0,-001-12-30 19:03:58,0
